1,100,95,95,95,95,95,100,100,100,100,100,200,1
2,100,100,95,100,100,100,100,100,100,100,100,204,1
3,100,100,100,100,100,100,100,100,100,100,100,205,1
4,100,80,80,80,80,80,95,95,80,95,80,206,1
5,80,60,60,95,60,80,80,100,100,100,100,207,1
6,100,100,100,100,100,100,100,100,100,100,100,208,1
7,100,100,100,100,100,100,100,100,100,100,100,209,1
8,80,80,80,80,80,80,80,95,95,100,95,210,1
9,100,95,100,100,95,95,95,95,95,100,100,211,1
10,95,95,80,100,100,80,95,100,100,100,100,212,1
11,100,100,95,100,100,95,100,100,100,100,100,215,1
12,100,100,100,100,100,100,100,100,100,100,100,216,1
13,100,95,100,100,95,100,100,100,100,100,100,217,1
14,100,95,95,100,100,100,100,100,100,100,100,219,1
15,100,80,95,100,100,95,100,100,100,100,100,220,1
16,95,80,80,80,80,100,100,100,100,100,100,221,1
17,100,100,100,100,100,100,100,100,100,100,100,224,1
18,95,95,95,100,95,95,95,100,100,100,95,225,1
19,100,100,100,100,100,100,100,100,100,100,100,228,2
20,100,100,100,100,100,100,100,100,100,100,100,232,2
21,100,100,100,100,100,100,100,100,100,100,100,233,2
22,100,100,100,100,100,100,100,100,100,100,100,234,2
23,100,100,100,100,100,100,100,100,100,100,100,235,2
24,100,100,100,100,100,100,100,100,100,100,100,236,2
25,100,100,100,100,100,100,100,100,100,100,100,237,2
26,100,100,100,100,100,100,100,100,100,100,100,238,2
27,,,,,,,,,,,,239,2
28,100,100,100,100,100,100,100,100,100,100,100,240,2
29,100,100,100,100,100,100,100,100,100,100,100,241,2
30,100,100,100,100,100,100,100,100,100,100,100,242,2
31,100,100,100,100,100,100,100,100,100,100,100,246,2
32,100,100,100,100,100,100,100,100,100,100,100,621,5
33,100,100,100,100,100,100,100,100,100,100,100,622,5
34,95,80,80,80,80,80,95,100,100,100,100,623,5
35,100,100,100,100,100,100,100,100,100,100,100,624,5
36,95,95,95,100,95,95,95,100,100,100,100,626,5
37,100,100,100,100,100,100,100,100,100,100,100,628,5
38,100,100,100,100,100,100,100,100,100,100,100,630,5
39,100,100,100,100,100,100,100,100,100,100,100,635,5
40,100,100,100,100,100,100,100,100,100,100,100,636,5
41,100,100,100,100,100,100,100,100,100,100,100,637,5
42,100,100,100,100,100,100,100,100,100,100,100,639,5
43,100,100,100,100,100,100,100,100,100,100,100,640,5
44,95,95,95,100,100,95,95,100,100,100,100,641,5
45,95,95,95,95,95,95,95,100,100,95,95,642,5
46,100,100,100,100,100,100,100,100,100,100,100,643,5
47,95,95,95,95,95,95,95,95,95,95,95,644,5
48,100,100,100,100,100,100,100,100,100,100,100,645,5
49,100,100,100,100,100,95,100,100,100,100,100,646,5
50,100,100,100,100,100,100,100,100,100,100,100,247,10
51,100,100,100,100,100,100,100,100,100,100,100,248,10
52,100,100,100,100,100,100,100,100,100,100,100,249,10
53,95,95,95,95,95,95,95,95,95,100,95,250,10
54,100,100,100,100,100,100,100,100,100,100,100,251,10
55,100,100,100,100,100,100,100,100,100,100,100,252,10
56,100,100,100,100,100,100,100,100,100,100,100,253,10
57,100,100,100,100,100,100,100,100,100,100,100,254,10
58,100,100,100,100,100,100,100,100,100,100,100,255,10
59,100,100,100,100,100,100,100,100,100,100,100,256,10
60,100,100,100,100,100,100,100,100,100,100,100,257,10
